Index;Mes;Periodo_inicial;Periodo_final;Administradora;Ano;ATA
1;AGOSTO;26/07/2022;25/08/2022;BSB DISBRAVE;2022;AGOSTO/2022
2;SETEMBRO;26/08/2022;25/09/2022;BSB DISBRAVE;2022;SETEMBRO/2022
3;OUTUBRO;26/09/2022;25/10/2022;BSB DISBRAVE;2022;OUTUBRO/2022
4;NOVEMBRO;26/10/2022;26/11/2022;BSB DISBRAVE;2022;NOVEMBRO/2022
5;DEZEMBRO;27/11/2022;23/12/2022;BSB DISBRAVE;2022;DEZEMBRO/2022
6;SETEMBRO;26/08/2022;25/09/2022;CAIXA;2022;SETEMBRO/2022
7;OUTUBRO;26/09/2022;25/10/2022;CAIXA;2022;OUTUBRO/2022
8;MARÇO;01/03/2018;28/03/2018;DISAL;2018;MARÇO/2018
9;ABRIL;29/03/2018;30/04/2018;DISAL;2018;ABRIL/2018
10;MAIO;01/05/2018;28/05/2018;DISAL;2018;MAIO/2018
11;JUNHO;29/05/2018;26/06/2018;DISAL;2018;JUNHO/2018
12;AGOSTO;01/08/2021;30/08/2021;DISAL;2021;AGOSTO/2021
13;SETEMBRO;31/08/2021;29/09/2021;DISAL;2021;SETEMBRO/2021
14;OUTUBRO;30/09/2021;28/10/2021;DISAL;2021;OUTUBRO/2021
15;NOVEMBRO;29/10/2021;27/11/2021;DISAL;2021;NOVEMBRO/2021
16;DEZEMBRO;28/11/2021;27/12/2021;DISAL;2021;DEZEMBRO/2021
17;JANEIRO;28/12/2021;25/01/2022;DISAL;2022;JANEIRO/2022
18;FEVEREIRO;26/01/2022;25/02/2022;DISAL;2022;FEVEREIRO/2022
19;MARÇO;26/02/2022;25/03/2022;DISAL;2022;MARÇO/2022
20;ABRIL;26/03/2022;25/04/2022;DISAL;2022;ABRIL/2022
21;MAIO;26/04/2022;25/05/2022;DISAL;2022;MAIO/2022
22;JUNHO;26/05/2022;25/06/2022;DISAL;2022;JUNHO/2022
23;JULHO;26/06/2022;25/07/2022;DISAL;2022;JULHO/2022
24;AGOSTO;26/07/2022;25/08/2022;DISAL;2022;AGOSTO/2022
25;SETEMBRO;26/08/2022;25/09/2022;DISAL;2022;SETEMBRO/2022
26;OUTUBRO;26/09/2022;25/10/2022;DISAL;2022;OUTUBRO/2022
27;NOVEMBRO;26/10/2022;26/11/2022;DISAL;2022;NOVEMBRO/2022
28;DEZEMBRO;27/11/2022;23/12/2022;DISAL;2022;DEZEMBRO/2022
29;JANEIRO;24/12/2022;21/01/2023;DISAL;2023;JANEIRO/2023
30;FEVEREIRO;22/01/2023;20/02/2023;DISAL;2023;FEVEREIRO/2023
31;MARÇO;21/02/2023;19/03/2023;DISAL;2023;MARÇO/2023
32;ABRIL;20/03/2023;24/04/2023;DISAL;2023;ABRIL/2023
33;MAIO;25/04/2023;19/05/2023;DISAL;2023;MAIO/2023
34;JUNHO;20/05/2023;19/06/2023;DISAL;2023;JUNHO/2023
35;JULHO;20/06/2023;19/07/2023;DISAL;2023;JULHO/2023
36;AGOSTO;20/07/2023;19/08/2023;DISAL;2023;AGOSTO/2023
37;SETEMBRO;20/08/2023;19/09/2023;DISAL;2023;SETEMBRO/2023
38;OUTUBRO;20/09/2023;19/10/2023;DISAL;2023;OUTUBRO/2023
39;NOVEMBRO;20/10/2023;19/11/2023;DISAL;2023;NOVEMBRO/2023
40;DEZEMBRO;20/11/2023;19/12/2023;DISAL;2023;DEZEMBRO/2023
41;JANEIRO;20/12/2023;19/01/2024;DISAL;2024;JANEIRO/2024
42;FEVEREIRO;20/01/2024;19/02/2024;DISAL;2024;FEVEREIRO/2024
43;MARÇO;20/02/2024;19/03/2024;DISAL;2024;MARÇO/2024
44;ABRIL;20/03/2024;19/04/2024;DISAL;2024;ABRIL/2024
45;MAIO;20/04/2024;19/05/2024;DISAL;2024;MAIO/2024
46;JUNHO;20/05/2024;19/06/2024;DISAL;2024;JUNHO/2024
47;JULHO;20/06/2024;19/07/2024;DISAL;2024;JULHO/2024
48;AGOSTO;20/07/2024;19/08/2024;DISAL;2024;AGOSTO/2024
49;SETEMBRO;20/08/2024;19/09/2024;DISAL;2024;SETEMBRO/2024
50;OUTUBRO;20/09/2024;19/10/2024;DISAL;2024;OUTUBRO/2024
51;NOVEMBRO;20/10/2024;19/11/2024;DISAL;2024;NOVEMBRO/2024
52;DEZEMBRO;20/11/2024;19/12/2024;DISAL;2024;DEZEMBRO/2024
53;FEVEREIRO;22/01/2023;20/02/2023;GM - CHEVROLET;2023;FEVEREIRO/2023
54;MARÇO;21/02/2023;19/03/2023;GM - CHEVROLET;2023;MARÇO/2023
55;ABRIL;20/03/2023;24/04/2023;GM - CHEVROLET;2023;ABRIL/2023
56;MAIO;25/04/2023;19/05/2023;GM - CHEVROLET;2023;MAIO/2023
57;JUNHO;20/05/2023;19/06/2023;GM - CHEVROLET;2023;JUNHO/2023
58;JULHO;20/06/2023;19/07/2023;GM - CHEVROLET;2023;JULHO/2023
59;AGOSTO;20/07/2023;19/08/2023;GM - CHEVROLET;2023;AGOSTO/2023
60;FEVEREIRO;20/01/2024;19/02/2024;GM - CHEVROLET;2024;FEVEREIRO/2024
